bucket,n_arcs,n_active_nodes,n_new_nodes,n_new_edge_events,density_local,cum_new_nodes,novelty_rate
364,21,23,2,14,0.9130434782608695,509,0.6666666666666666
365,20,27,1,11,0.7407407407407407,510,0.55
366,38,45,4,16,0.8444444444444444,514,0.42105263157894735
367,38,44,3,18,0.8636363636363636,517,0.47368421052631576
368,55,44,5,19,1.25,522,0.34545454545454546
369,19,24,3,7,0.7916666666666666,525,0.3684210526315789
370,24,26,3,6,0.9230769230769231,528,0.25
371,13,16,0,5,0.8125,528,0.38461538461538464
372,14,19,2,10,0.7368421052631579,530,0.7142857142857143
373,2,4,0,1,0.5,530,0.5
